Season,Episode,Overall Episode,Title,Air Date,Director,Writers,US Viewers (Millions),IMDb Rating,IMDb Votes,Runtime (Minutes),Production Code,Nielsen Rank,Share Percentage,18-49 Demographics,Critics Score,Audience Score,Emmy Nominations,Emmy Wins,Guest Stars,Special Episode,Clip Show,Bottle Episode,Multi-Part,Budget Tier
2,5,29,"The One with Episode 29",1995-10-22,"Peter Bonerz","Jeff Strauss",31.4,8.3,46599,22,457655,16,36.2,10.1,87,79,1,0,"Sean Penn",Regular,No,No,No,Medium
2,6,30,"The One with Episode 30",1995-10-29,"Shelley Jensen","Jeff Greenstein",31.9,8.2,42250,22,457656,29,36.7,20.1,69,91,0,0,"Christina Applegate, Reese Witherspoon, Julia Roberts",Regular,No,Yes,No,Low
2,7,31,"The One with Episode 31",1995-10-36,"Pamela Fryman","Jeffrey Astrof",29.1,8.3,10752,22,457657,19,38.6,13.2,60,83,0,1,"None",Regular,No,No,No,Low
2,8,32,"The One with Episode 32",1995-10-43,"Arlene Sanford","Mike Sikowitz",31.7,8.3,26415,22,457658,10,14.6,14.7,95,91,0,0,"None",Regular,No,No,No,Medium
2,9,33,"The One with Episode 33",1995-11-22,"Gail Mancuso","David Crane",33.4,7.8,27460,22,457659,45,16.3,22.6,82,86,0,0,"Christina Applegate",Regular,No,No,No,Low
2,10,34,"The One with Episode 34",1995-11-29,"James Burrows","Jeff Strauss",25.1,7.7,53083,22,457660,41,29.4,8.0,80,71,0,0,"Alec Baldwin",Regular,No,Yes,No,Low
2,11,35,"The One with Episode 35",1995-11-36,"Kevin S. Bright","Jeff Strauss",33.4,8.9,25781,22,457661,15,25.0,16.5,90,79,0,0,"None",Regular,No,No,No,Low
2,12,36,"The One with Episode 36",1995-11-43,"James Burrows","Ira Ungerleider, Mike Sikowitz",28.5,8.6,48289,22,457662,35,21.4,18.0,70,76,0,0,"Danny DeVito, Gary Oldman",Regular,No,No,No,High
2,13,37,"The One with Episode 37",1995-01-22,"Kevin S. Bright","Ira Ungerleider",31.7,7.8,40523,22,457663,48,19.2,20.7,84,92,0,0,"None",Regular,No,No,No,Medium
2,14,38,"The One with Episode 38",1995-01-29,"Pamela Fryman","Jeff Strauss, Jeffrey Astrof",32.9,8.8,58370,22,457664,39,17.5,8.0,73,84,0,0,"Reese Witherspoon, Christina Applegate",Regular,No,Yes,Yes,High
2,15,39,"The One with Episode 39",1995-01-36,"Gail Mancuso","Alexa Junge, Jeff Strauss",32.9,8.9,45073,22,457665,35,38.4,12.9,65,77,0,0,"None",Regular,No,No,No,Medium
2,16,40,"The One with Episode 40",1995-01-43,"Michael Lembeck","Alexa Junge",27.3,8.9,26188,22,457666,35,36.0,9.6,98,93,0,0,"None",Regular,No,Yes,No,Low
2,17,41,"The One with Episode 41",1995-02-22,"Gary Halvorson","Ira Ungerleider",27.5,8.6,34321,22,457667,42,13.6,6.6,88,79,0,0,"Alec Baldwin",Regular,No,No,No,Medium
2,18,42,"The One with Episode 42",1995-02-29,"Arlene Sanford","Marta Kauffman, Ira Ungerleider",26.7,8.6,24587,22,457668,41,23.5,19.5,87,79,0,0,"None",Regular,No,No,No,Medium
2,19,43,"The One with Episode 43",1995-02-36,"Pamela Fryman","Alexa Junge",28.9,7.9,10087,22,457669,25,24.4,16.4,76,85,0,0,"Sean Penn, Gary Oldman",Regular,No,No,No,Low
2,20,44,"The One with Episode 44",1995-02-43,"Peter Bonerz","Adam Chase",26.0,8.5,19501,22,457670,35,37.1,22.7,90,82,0,0,"Reese Witherspoon",Regular,No,No,No,Low
2,21,45,"The One with Episode 45",1995-03-22,"Kevin S. Bright","David Crane",26.2,7.9,40587,22,457671,7,31.6,24.2,95,87,0,0,"None",Regular,No,No,No,High
2,22,46,"The One with Episode 46",1995-03-29,"James Burrows","Ira Ungerleider",28.5,8.1,41219,22,457672,34,13.6,6.0,96,99,0,0,"None",Regular,No,No,No,Medium
2,23,47,"The One with Episode 47",1995-03-36,"Gail Mancuso","Marta Kauffman",28.3,7.8,46210,22,457673,31,30.7,20.0,62,80,1,0,"None",Regular,No,No,No,High
2,24,48,"The One with Episode 48",1995-03-43,"Michael Lembeck","Marta Kauffman",25.3,8.9,39007,22,457674,19,32.4,22.6,79,96,0,0,"None",Season Finale,No,No,No,Medium
3,1,49,"The One with Episode 49",1996-09-22,"Kevin S. Bright","Gregory S. Malins, Ira Ungerleider",30.2,8.5,50629,22,458651,20,38.3,6.4,95,93,3,0,"None",Season Premiere,No,No,No,High
3,2,50,"The One with Episode 50",1996-09-29,"Shelley Jensen","Gregory S. Malins",26.6,7.9,47853,22,458652,30,13.8,12.5,90,94,0,1,"None",Regular,No,No,No,Low
3,3,51,"The One with Episode 51",1996-09-36,"Gail Mancuso","Jeff Strauss",25.1,7.6,37300,22,458653,10,38.7,19.4,88,90,0,0,"None",Regular,No,No,No,Medium
3,4,52,"The One with Episode 52",1996-09-43,"Shelley Jensen","Alexa Junge",24.4,8.5,13817,22,458654,50,39.5,19.7,72,72,0,0,"None",Regular,No,No,No,Medium
3,5,53,"The One with Episode 53",1996-10-22,"Peter Bonerz","Mike Sikowitz",23.7,7.9,24880,22,458655,9,16.6,18.6,64,81,0,0,"None",Regular,No,No,No,Low
3,6,54,"The One with Episode 54",1996-10-29,"Arlene Sanford","David Crane, Jeff Strauss",27.1,8.0,31044,22,458656,29,36.3,21.5,91,73,0,0,"Bruce Willis, Danny DeVito, Brad Pitt",Regular,No,No,No,Medium
3,7,55,"The One with Episode 55",1996-10-36,"James Burrows","Mike Sikowitz",29.7,7.9,47098,22,458657,46,31.8,20.9,97,71,2,0,"None",Regular,Yes,No,No,Medium
3,8,56,"The One with Episode 56",1996-10-43,"Gary Halvorson","Mike Sikowitz",21.1,8.7,47205,22,458658,22,33.1,7.5,71,84,0,0,"Alec Baldwin",Regular,No,No,No,Medium
3,9,57,"The One with Episode 57",1996-11-22,"Shelley Jensen","Jeff Greenstein",27.6,8.6,53137,22,458659,31,21.7,18.3,91,83,0,0,"None",Regular,Yes,No,No,Low
3,10,58,"The One with Episode 58",1996-11-29,"Gail Mancuso","Jeff Strauss",24.8,8.0,44600,22,458660,37,23.9,20.9,77,99,0,0,"Sean Penn",Regular,No,No,No,Medium
3,11,59,"The One with Episode 59",1996-11-36,"Kevin S. Bright","Jeff Greenstein, Jeff Strauss",27.1,7.9,28356,22,458661,46,10.4,23.2,83,99,0,0,"Gary Oldman, Reese Witherspoon",Regular,No,No,Yes,Medium
3,12,60,"The One with Episode 60",1996-11-43,"Shelley Jensen","Adam Chase",23.1,8.3,52850,22,458662,6,31.1,17.2,73,87,0,0,"Danny DeVito, Sean Penn",Regular,No,No,No,Low
3,13,61,"The One with Episode 61",1996-01-22,"Kevin S. Bright","David Crane",27.5,7.7,56139,22,458663,26,26.0,19.4,61,75,0,0,"Alec Baldwin",Regular,No,No,No,Low
3,14,62,"The One with Episode 62",1996-01-29,"Pamela Fryman","Ira Ungerleider",21.1,7.6,23061,22,458664,32,28.5,16.7,99,80,0,0,"Alec Baldwin, Christina Applegate, Tom Selleck",Regular,No,No,No,Low
3,15,63,"The One with Episode 63",1996-01-36,"Arlene Sanford","Adam Chase",25.5,8.5,58297,22,458665,26,29.3,7.3,90,72,0,0,"None",Regular,No,No,Yes,Medium
3,16,64,"The One with Episode 64",1996-01-43,"Gail Mancuso","Ira Ungerleider",29.0,8.2,48991,22,458666,25,10.9,23.2,68,90,0,0,"None",Regular,No,No,No,Medium
3,17,65,"The One with Episode 65",1996-02-22,"Peter Bonerz","Gregory S. Malins",23.5,7.7,15201,22,458667,50,19.5,22.6,95,88,1,0,"Julia Roberts, Gary Oldman",Regular,No,No,No,Medium
3,18,66,"The One with Episode 66",1996-02-29,"Michael Lembeck","Ira Ungerleider, Jeffrey Astrof",25.6,8.8,14383,22,458668,14,10.8,11.6,65,91,0,0,"None",Regular,Yes,No,No,Low
3,19,67,"The One with Episode 67",1996-02-36,"Arlene Sanford","Ira Ungerleider",24.4,8.9,38595,22,458669,10,14.5,18.6,88,80,1,0,"None",Regular,No,No,No,High
3,20,68,"The One with Episode 68",1996-02-43,"Shelley Jensen","Marta Kauffman, David Crane",29.5,7.8,28867,22,458670,33,37.0,19.4,64,84,0,0,"None",Regular,No,No,No,Medium
3,21,69,"The One with Episode 69",1996-03-22,"Gail Mancuso","David Crane",27.9,8.5,16405,22,458671,30,23.4,22.6,73,87,0,1,"None",Regular,No,No,No,Medium
3,22,70,"The One with Episode 70",1996-03-29,"James Burrows","Alexa Junge",27.2,8.6,11631,22,458672,36,16.7,6.6,82,94,0,0,"None",Regular,No,No,No,Medium
3,23,71,"The One with Episode 71",1996-03-36,"Ben Weiss","Mike Sikowitz",30.3,8.0,18277,22,458673,3,23.4,22.5,76,97,0,0,"None",Holiday Special,No,No,No,Low
3,24,72,"The One with Episode 72",1996-03-43,"Shelley Jensen","Jeffrey Astrof",29.6,8.2,25963,22,458674,33,30.5,9.0,79,86,2,0,"Danny DeVito, Reese Witherspoon, Bruce Willis",Regular,No,No,No,High
3,25,73,"The One with Episode 73",1996-04-22,"Kevin S. Bright","David Crane",21.1,8.0,32321,22,458675,36,25.4,9.0,72,78,3,0,"None",Season Finale,Yes,No,No,Low
4,1,74,"The One with Episode 74",1997-09-22,"Ben Weiss","David Crane",26.0,8.9,41729,22,459651,50,10.1,8.7,82,97,0,0,"None",Season Premiere,No,No,No,Medium
4,2,75,"The One with Episode 75",1997-09-29,"James Burrows","Jeff Greenstein",27.3,8.2,59010,22,459652,43,20.3,6.0,77,70,0,0,"Bruce Willis, Danny DeVito, Christina Applegate",Regular,No,No,No,Low
4,3,76,"The One with Episode 76",1997-09-36,"Michael Lembeck","Jeff Greenstein",25.8,9.1,20688,22,459653,45,17.2,7.4,80,85,3,0,"None",Regular,No,No,No,Low
4,4,77,"The One with Episode 77",1997-09-43,"Peter Bonerz","Jeffrey Astrof",25.7,8.5,44946,22,459654,20,32.9,24.3,88,90,0,0,"Julia Roberts",Regular,No,No,No,Medium
4,5,78,"The One with Episode 78",1997-10-22,"Shelley Jensen","Marta Kauffman",28.8,8.1,18526,22,459655,12,20.5,14.5,91,85,0,0,"None",Regular,No,No,No,Medium
4,6,79,"The One with Episode 79",1997-10-29,"Michael Lembeck","Ira Ungerleider",25.3,8.5,57952,22,459656,17,37.6,11.4,63,92,0,0,"Tom Selleck, Danny DeVito",Regular,No,No,No,High
4,7,80,"The One with Episode 80",1997-10-36,"Peter Bonerz","Jeff Strauss",28.6,8.5,10021,22,459657,10,11.1,20.2,66,70,0,0,"None",Regular,No,No,No,Medium
4,8,81,"The One with Episode 81",1997-10-43,"Gail Mancuso","Alexa Junge",19.8,8.2,45690,22,459658,17,11.3,10.3,60,89,0,0,"None",Regular,No,No,No,High
4,9,82,"The One with Episode 82",1997-11-22,"Arlene Sanford","Adam Chase",28.5,8.2,50788,22,459659,24,39.7,17.2,99,82,0,0,"None",Regular,No,Yes,No,Medium
4,10,83,"The One with Episode 83",1997-11-29,"Michael Lembeck","Ira Ungerleider, Jeff Greenstein",19.9,8.0,32154,22,459660,31,30.1,24.5,73,79,0,0,"None",Regular,No,No,No,Medium
4,11,84,"The One with Episode 84",1997-11-36,"Gail Mancuso","Ira Ungerleider",25.3,7.9,12078,22,459661,32,31.5,20.6,99,73,0,0,"None",Regular,No,No,No,Medium
4,12,85,"The One with Episode 85",1997-11-43,"Arlene Sanford","David Crane",19.6,8.5,32339,22,459662,48,22.5,12.8,64,80,0,0,"None",Regular,No,No,No,Medium
4,13,86,"The One with Episode 86",1997-01-22,"Gary Halvorson","Mike Sikowitz",21.5,9.0,33080,22,459663,44,21.5,19.9,79,73,3,0,"None",Regular,No,No,No,Medium
4,14,87,"The One with Episode 87",1997-01-29,"Shelley Jensen","Jeff Strauss",25.0,7.9,35162,22,459664,33,38.2,20.6,94,89,0,0,"None",Regular,No,No,No,Medium
4,15,88,"The One with Episode 88",1997-01-36,"Gail Mancuso","Gregory S. Malins",21.8,9.2,51301,22,459665,2,22.7,11.8,97,75,0,0,"None",Regular,No,No,No,High
4,16,89,"The One with Episode 89",1997-01-43,"James Burrows","Alexa Junge",24.1,8.4,20028,22,459666,33,32.2,11.2,92,83,0,0,"None",Regular,No,No,No,Medium
4,17,90,"The One with Episode 90",1997-02-22,"Peter Bonerz","Mike Sikowitz",28.5,8.2,40053,22,459667,10,15.4,8.5,72,77,0,0,"Gary Oldman",Holiday Special,No,No,No,High
4,18,91,"The One with Episode 91",1997-02-29,"Pamela Fryman","Jeffrey Astrof",19.4,7.8,14598,22,459668,5,27.5,8.5,95,90,0,0,"Gary Oldman, Bruce Willis, Reese Witherspoon",Regular,No,No,Yes,Low
4,19,92,"The One with Episode 92",1997-02-36,"Arlene Sanford","Alexa Junge",28.0,8.8,29165,22,459669,14,20.6,21.7,61,88,0,0,"None",Holiday Special,No,No,Yes,Medium
4,20,93,"The One with Episode 93",1997-02-43,"James Burrows","Gregory S. Malins, Mike Sikowitz",27.8,8.1,53324,22,459670,40,36.2,13.4,62,72,0,0,"None",Regular,No,Yes,No,Medium
4,21,94,"The One with Episode 94",1997-03-22,"Shelley Jensen","Gregory S. Malins",22.8,8.8,11182,22,459671,39,34.7,12.8,79,81,1,1,"None",Regular,No,No,No,Medium
4,22,95,"The One with Episode 95",1997-03-29,"Gail Mancuso","Gregory S. Malins",26.9,8.2,52205,22,459672,11,35.2,11.2,92,98,0,0,"None",Regular,No,No,No,Low
4,23,96,"The One with Episode 96",1997-03-36,"Arlene Sanford","Jeffrey Astrof, Jeff Strauss",27.0,9.1,15354,22,459673,31,16.9,13.6,88,92,0,1,"Julia Roberts, Bruce Willis",Regular,No,No,Yes,Low
4,24,97,"The One with Episode 97",1997-03-43,"Shelley Jensen","Jeff Strauss",29.1,8.9,52915,22,459674,45,15.8,17.0,69,83,0,0,"Bruce Willis, Tom Selleck",Season Finale,No,Yes,Yes,Low
5,1,98,"The One with Episode 98",1998-09-22,"Shelley Jensen","Alexa Junge, Jeff Greenstein",25.2,8.0,42705,22,460651,31,36.4,22.0,80,81,0,0,"Danny DeVito, Tom Selleck",Season Premiere,No,No,No,Medium
5,2,99,"The One with Episode 99",1998-09-29,"Shelley Jensen","Gregory S. Malins",23.1,9.1,59983,22,460652,2,13.9,5.5,96,72,0,0,"None",Regular,No,No,No,Low
5,3,100,"The One with Episode 100",1998-09-36,"Kevin S. Bright","Adam Chase",19.6,8.7,20390,22,460653,40,21.2,22.7,77,93,0,0,"Gary Oldman, Julia Roberts",Regular,Yes,No,No,Medium
5,4,101,"The One with Episode 101",1998-09-43,"Arlene Sanford","Alexa Junge",28.3,9.1,20292,22,460654,24,36.5,13.5,95,76,0,0,"None",Regular,No,Yes,No,High
5,5,102,"The One with Episode 102",1998-10-22,"Gary Halvorson","Alexa Junge",20.8,8.5,53644,22,460655,49,16.2,6.9,97,96,0,0,"None",Regular,No,No,Yes,High
5,6,103,"The One with Episode 103",1998-10-29,"Arlene Sanford","Alexa Junge",23.6,7.9,19495,22,460656,10,37.4,14.4,68,87,0,0,"Reese Witherspoon, Bruce Willis",Regular,No,No,No,Medium
5,7,104,"The One with Episode 104",1998-10-36,"Gail Mancuso","David Crane",22.4,9.1,42125,22,460657,1,20.9,24.8,77,94,0,0,"None",Regular,No,No,No,High
5,8,105,"The One with Episode 105",1998-10-43,"Shelley Jensen","Adam Chase, David Crane",21.1,8.0,39472,22,460658,15,16.1,15.4,65,85,0,0,"Julia Roberts, Tom Selleck",Regular,No,Yes,No,Low
5,9,106,"The One with Episode 106",1998-11-22,"Shelley Jensen","Mike Sikowitz",23.1,8.2,42313,22,460659,46,19.0,23.0,74,80,0,0,"None",Regular,No,No,No,Medium
5,10,107,"The One with Episode 107",1998-11-29,"Kevin S. Bright","Jeff Strauss",21.4,8.2,18820,22,460660,46,30.2,24.5,60,70,0,0,"None",Regular,No,No,No,High
5,11,108,"The One with Episode 108",1998-11-36,"Kevin S. Bright","Jeffrey Astrof, Mike Sikowitz",20.0,9.0,58735,22,460661,43,31.3,6.7,72,88,1,0,"None",Regular,No,Yes,No,Medium
5,12,109,"The One with Episode 109",1998-11-43,"James Burrows","Jeffrey Astrof",28.4,8.4,15514,22,460662,41,34.9,9.4,66,72,0,0,"Christina Applegate, Brad Pitt, Alec Baldwin",Regular,No,No,No,Medium
5,13,110,"The One with Episode 110",1998-01-22,"Gail Mancuso","Mike Sikowitz",28.5,8.9,24965,22,460663,13,30.7,8.4,98,97,0,0,"None",Holiday Special,No,Yes,No,Medium
5,14,111,"The One with Episode 111",1998-01-29,"Gail Mancuso","Adam Chase",28.2,8.1,55699,22,460664,48,23.3,19.7,71,84,0,0,"None",Regular,No,No,No,High
5,15,112,"The One with Episode 112",1998-01-36,"Gary Halvorson","Jeff Greenstein",25.1,9.1,24552,22,460665,35,31.0,9.9,71,89,0,0,"None",Regular,No,No,Yes,Medium
5,16,113,"The One with Episode 113",1998-01-43,"Peter Bonerz","Jeffrey Astrof",23.3,9.3,26512,22,460666,1,14.4,22.8,95,90,0,0,"Alec Baldwin, Bruce Willis",Regular,No,No,No,Low
5,17,114,"The One with Episode 114",1998-02-22,"Shelley Jensen","Mike Sikowitz",19.1,9.3,16568,22,460667,18,24.0,20.3,99,97,0,0,"None",Regular,No,No,No,Medium
5,18,115,"The One with Episode 115",1998-02-29,"Shelley Jensen","Ira Ungerleider",26.6,8.1,54842,22,460668,24,29.6,10.9,74,91,0,0,"None",Regular,No,No,No,Low
5,19,116,"The One with Episode 116",1998-02-36,"Pamela Fryman","Adam Chase",27.8,8.9,40155,22,460669,40,15.7,14.0,85,83,2,0,"Sean Penn",Regular,No,No,No,Low
5,20,117,"The One with Episode 117",1998-02-43,"Kevin S. Bright","Mike Sikowitz, Gregory S. Malins",23.8,8.1,30541,22,460670,5,30.8,5.3,82,79,3,0,"Tom Selleck, Christina Applegate",Regular,No,No,No,High
5,21,118,"The One with Episode 118",1998-03-22,"Pamela Fryman","Gregory S. Malins",19.3,8.8,55865,22,460671,47,24.6,22.9,75,85,1,0,"Gary Oldman, Reese Witherspoon",Regular,No,No,No,Low
5,22,119,"The One with Episode 119",1998-03-29,"Gail Mancuso","Gregory S. Malins",22.4,8.8,31578,22,460672,9,36.5,20.9,88,75,2,0,"None",Regular,Yes,No,No,Low
5,23,120,"The One with Episode 120",1998-03-36,"Peter Bonerz","Jeff Strauss",28.0,9.0,21960,22,460673,38,36.1,16.2,79,93,3,0,"None",Regular,No,No,No,Low
5,24,121,"The One with Episode 121",1998-03-43,"Arlene Sanford","Marta Kauffman, Gregory S. Malins",20.7,8.6,59373,22,460674,31,34.6,5.9,76,89,0,0,"None",Season Finale,No,No,No,Low
6,1,122,"The One with Episode 122",1999-09-22,"Ben Weiss","Adam Chase",20.2,8.6,51577,22,461651,33,34.9,11.9,99,93,0,0,"Reese Witherspoon, Tom Selleck",Season Premiere,No,No,No,Low
6,2,123,"The One with Episode 123",1999-09-29,"Gary Halvorson","Gregory S. Malins, Alexa Junge",20.0,8.5,33516,22,461652,33,34.9,11.9,74,75,0,0,"None",Regular,No,No,No,Medium
6,3,124,"The One with Episode 124",1999-09-36,"Peter Bonerz","Jeffrey Astrof",22.8,9.1,32902,22,461653,5,25.8,21.5,77,74,0,0,"Bruce Willis, Julia Roberts, Brad Pitt",Regular,No,No,No,High
6,4,125,"The One with Episode 125",1999-09-43,"Michael Lembeck","Alexa Junge, Adam Chase",23.4,8.6,12690,22,461654,11,28.0,15.5,73,95,0,1,"None",Regular,No,No,No,Low
6,5,126,"The One with Episode 126",1999-10-22,"Arlene Sanford","David Crane",25.7,8.3,24394,22,461655,14,22.3,18.2,75,72,3,0,"None",Regular,No,Yes,No,Medium
6,6,127,"The One with Episode 127",1999-10-29,"Pamela Fryman","Mike Sikowitz, Gregory S. Malins",29.2,8.1,59054,22,461656,7,20.0,9.0,77,75,0,0,"None",Regular,No,No,Yes,Medium
6,7,128,"The One with Episode 128",1999-10-36,"Peter Bonerz","David Crane",24.5,9.1,16316,22,461657,1,21.0,12.5,64,76,0,0,"Brad Pitt, Christina Applegate",Regular,No,Yes,No,Low
6,8,129,"The One with Episode 129",1999-10-43,"Pamela Fryman","Mike Sikowitz",21.1,8.1,37622,22,461658,8,39.5,18.2,91,86,0,0,"Christina Applegate",Regular,No,No,No,Medium
6,9,130,"The One with Episode 130",1999-11-22,"Gary Halvorson","Gregory S. Malins",23.9,9.0,50453,22,461659,24,12.7,18.4,89,96,0,0,"None",Regular,No,No,No,Medium
6,10,131,"The One with Episode 131",1999-11-29,"James Burrows","Jeffrey Astrof",27.2,8.2,42342,22,461660,27,14.5,11.0,79,78,0,0,"None",Regular,No,No,No,Medium
6,11,132,"The One with Episode 132",1999-11-36,"Peter Bonerz","David Crane",27.0,7.7,37995,22,461661,6,22.6,13.4,82,93,0,0,"None",Regular,No,No,No,High
6,12,133,"The One with Episode 133",1999-11-43,"Ben Weiss","David Crane",26.7,8.8,18390,22,461662,4,17.6,23.8,98,95,3,0,"None",Regular,No,No,No,Medium
6,13,134,"The One with Episode 134",1999-01-22,"Shelley Jensen","Adam Chase, David Crane",24.6,8.7,44145,22,461663,7,19.5,5.7,91,94,0,0,"None",Regular,No,No,No,Low
6,14,135,"The One with Episode 135",1999-01-29,"Gary Halvorson","Mike Sikowitz, Jeff Strauss",22.0,7.7,35160,22,461664,6,23.2,15.5,90,88,0,0,"Brad Pitt",Regular,No,No,No,Medium
6,15,136,"The One with Episode 136",1999-01-36,"Pamela Fryman","Ira Ungerleider",19.6,8.4,11204,22,461665,28,31.6,18.4,92,89,0,0,"None",Regular,No,No,No,Medium
